profile,method,size_krows,minutes
Academic,Manual,5,22
Academic,Manual,10,37
Academic,Manual,20,63
Academic,Manual,30,93
Academic,DataMentor,5,8
Academic,DataMentor,10,12
Academic,DataMentor,20,19
Academic,DataMentor,30,27
SME,Manual,8,31
SME,Manual,15,49
SME,Manual,25,76
SME,Manual,35,108
SME,DataMentor,8,11
SME,DataMentor,15,16
SME,DataMentor,25,24
SME,DataMentor,35,33
Enterprise,Manual,10,38
Enterprise,Manual,20,61
Enterprise,Manual,30,89
Enterprise,Manual,45,126
Enterprise,DataMentor,10,14
Enterprise,DataMentor,20,21
Enterprise,DataMentor,30,29
Enterprise,DataMentor,45,41
