profile,stage,manual,datamentor,improvement_pct
Academic,Ingestion,22,7,68.18
Academic,Cleaning,34,10,70.59
Academic,Validation,18,6,66.67
Academic,Notebook Prep,16,5,68.75
Academic,Debugging,29,9,68.97
SME,Ingestion,28,10,64.29
SME,Cleaning,41,14,65.85
SME,Validation,24,9,62.5
SME,Notebook Prep,22,8,63.64
SME,Debugging,35,12,65.71
Enterprise,Ingestion,35,13,62.86
Enterprise,Cleaning,52,18,65.38
Enterprise,Validation,31,12,61.29
Enterprise,Notebook Prep,27,10,62.96
Enterprise,Debugging,42,16,61.9
